Function ID	Function Description
0	negative regulation of transcription by RNA polymerase II [GO:0000122]
1	regulation of transcription by RNA polymerase II [GO:0006357]
2	negative regulation of transcription, DNA-templated [GO:0045892]
3	regulation of transcription, DNA-templated [GO:0006355]
4	response to pheromone [GO:0019236]
5	enamel mineralization [GO:0070166]
6	extracellular matrix disassembly [GO:0022617]
7	protein localization to plasma membrane [GO:0072659]
8	pantothenate metabolic process [GO:0015939]
9	cellular iron ion homeostasis [GO:0006879]
10	cellular response to increased oxygen levels [GO:0036295]
11	proton transmembrane transport [GO:1902600]
12	regulation of macroautophagy [GO:0016241]
13	cilium assembly [GO:0060271]
14	head development [GO:0060322]
15	heart development [GO:0007507]
16	intracellular protein transport [GO:0006886]
17	multicellular organism growth [GO:0035264]
18	regulation of smoothened signaling pathway [GO:0008589]
19	vesicle tethering to Golgi [GO:0099041]
20	endosomal transport [GO:0016197]
21	protein targeting to lysosome [GO:0006622]
22	regulation of endocytosis [GO:0030100]
23	signal transduction [GO:0007165]
24	vesicle organization [GO:0016050]
25	retina homeostasis [GO:0001895]
26	peptidyl-L-cysteine S-palmitoylation [GO:0018230]
27	protein palmitoylation [GO:0018345]
28	protein targeting to membrane [GO:0006612]
29	double-strand break repair via homologous recombination [GO:0000724]
30	mitotic cytokinesis [GO:0000281]
31	regulation of cytokinesis [GO:0032465]
32	positive regulation of pattern recognition receptor signaling pathway [GO:0062208]
33	positive regulation of protein localization to phagocytic vesicle [GO:1905171]
34	positive regulation of protein localization to plasma membrane [GO:1903078]
35	positive regulation of transcription by RNA polymerase II [GO:0045944]
36	regulation of gene expression [GO:0010468]
37	embryonic placenta morphogenesis [GO:0060669]
38	in utero embryonic development [GO:0001701]
39	negative regulation of mitochondrial fusion [GO:0010637]
40	mRNA processing [GO:0006397]
41	regulation of DNA-templated transcription, elongation [GO:0032784]
42	regulation of RNA splicing [GO:0043484]
43	RNA splicing [GO:0008380]
44	multicellular organism development [GO:0007275]
45	neuron fate commitment [GO:0048663]
46	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding [GO:1903026]
47	histone H3 acetylation [GO:0043966]
48	glucose import in response to insulin stimulus [GO:0044381]
49	negative regulation of catabolic process [GO:0009895]
50	polarized epithelial cell differentiation [GO:0030859]
51	regulation of Fas signaling pathway [GO:1902044]
52	regulation of G protein-coupled receptor signaling pathway [GO:0008277]
53	regulation of protein localization to cell-cell junction [GO:0150106]
54	regulation of protein localization to plasma membrane [GO:1903076]
55	antiviral innate immune response [GO:0140374]
56	positive regulation of defense response to virus by host [GO:0002230]
57	adaptive thermogenesis [GO:1990845]
58	ectoderm development [GO:0007398]
59	lactation [GO:0007595]
60	negative regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043377]
61	negative regulation of gene expression [GO:0010629]
62	negative regulation of NK T cell proliferation [GO:0051141]
63	negative regulation of T-helper 17 cell differentiation [GO:2000320]
64	NK T cell differentiation [GO:0001865]
65	positive regulation of brown fat cell differentiation [GO:0090336]
66	positive regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043372]
67	positive regulation of cold-induced thermogenesis [GO:0120162]
68	positive regulation of gene expression [GO:0010628]
69	positive regulation of histone deacetylation [GO:0031065]
