	ID_GeneontologyIDs_	Gene ontology IDs
0	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	0
1	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872	1
2		2
3	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	3
4	GO:0000122; GO:0000978; GO:0001162; GO:0001227; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0016363; GO:0016604; GO:0017053; GO:0045892; GO:0046872	4
5	GO:0005886; GO:0016021; GO:0016503; GO:0019236	5
6	GO:0005634; GO:0005737; GO:0005768; GO:0022617; GO:0070166; GO:0072659	6
7	GO:0005576; GO:0005886; GO:0015939; GO:0017159	7
8	GO:0000122; GO:0000785; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	8
9	GO:0005737; GO:0005886; GO:0045202; GO:0046872	9
10	GO:0000221; GO:0005524; GO:0005654; GO:0005765; GO:0005829; GO:0005886; GO:0005902; GO:0006879; GO:0016241; GO:0016324; GO:0016469; GO:0030133; GO:0030141; GO:0036295; GO:0043231; GO:0046933; GO:0046961; GO:0070062; GO:1902600	10
11	GO:0005634; GO:0005737; GO:0005765; GO:0005802; GO:0005829; GO:0005930; GO:0006886; GO:0007507; GO:0008589; GO:0015630; GO:0016020; GO:0031410; GO:0035264; GO:0036064; GO:0060271; GO:0060322; GO:0099041	11
12	GO:0005545; GO:0005547; GO:0005769; GO:0005829; GO:0006622; GO:0007165; GO:0016050; GO:0016197; GO:0030100; GO:0031901; GO:0043231; GO:0046872	12
13	GO:0001895; GO:0005615; GO:0030246; GO:0070062	13
14	GO:0000139; GO:0005783; GO:0005794; GO:0006612; GO:0016021; GO:0018230; GO:0018345; GO:0019706; GO:0072659	14
15	GO:0000281; GO:0000724; GO:0005765; GO:0005813; GO:0030496; GO:0032266; GO:0032465; GO:0046872	15
16	GO:0000122; GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	16
17	GO:0005886; GO:0016020; GO:0016021; GO:0016409; GO:0018345; GO:0019706; GO:0030425; GO:0045335; GO:0062208; GO:1903078; GO:1905171	17
18	GO:0003677; GO:0005634; GO:0010468; GO:0045944; GO:0046872	18
19	GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0001701; GO:0005634; GO:0006357; GO:0045892; GO:0046872; GO:0060669	19
20	GO:0005576; GO:0005741; GO:0008270; GO:0010637; GO:0016021; GO:0016491; GO:0035578; GO:0070062	20
21	GO:0000993; GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0006397; GO:0008380; GO:0016363; GO:0032784; GO:0043231; GO:0043484; GO:0044609; GO:0046872	21
22	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0046872	22
23	GO:0000978; GO:0000981; GO:0005634; GO:0005654; GO:0006357; GO:0007275; GO:0046872	23
24	GO:0000978; GO:0001228; GO:0003677; GO:0005634; GO:0006357; GO:0046872	24
25	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0042802; GO:0046872	25
26	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0019904; GO:0046872; GO:0048663	26
27	GO:0003677; GO:0005654; GO:0005730; GO:0008270; GO:0045944; GO:1903026	27
28	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0042802; GO:0046872	28
29	GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0046872	29
30	GO:0000122; GO:0005671; GO:0017025; GO:0042393; GO:0043966; GO:0045892; GO:0072686; GO:0140030	30
31	GO:0000139; GO:0005654; GO:0005783; GO:0005794; GO:0006612; GO:0008277; GO:0009895; GO:0016021; GO:0016409; GO:0018230; GO:0018345; GO:0019705; GO:0019706; GO:0030859; GO:0044381; GO:0140439; GO:0150106; GO:1902044; GO:1903076	31
32	GO:0002230; GO:0003677; GO:0005783; GO:0005789; GO:0005794; GO:0006612; GO:0010008; GO:0016021; GO:0016409; GO:0018230; GO:0018345; GO:0019706; GO:0070062; GO:0140374	32
33	GO:0000122; GO:0000978; GO:0000981; GO:0000987; GO:0001228; GO:0001865; GO:0005654; GO:0006357; GO:0006366; GO:0007398; GO:0007595; GO:0010628; GO:0010629; GO:0031065; GO:0032740; GO:0032868; GO:0042803; GO:0042826; GO:0043372; GO:0043377; GO:0046628; GO:0046872; GO:0051141; GO:0090336; GO:0120162; GO:1990837; GO:1990845; GO:2000320; GO:2000640	33
34	GO:0000122; GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0005886; GO:0006357; GO:0015629; GO:0042803; GO:0043565; GO:0045892; GO:0046872; GO:1990837	34
35	GO:0000785; GO:0000977; GO:0000981; GO:0003677; GO:0005634; GO:0006357; GO:0046872; GO:1990837	35
36	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0007399; GO:0019208; GO:0030511; GO:0043565; GO:0045636; GO:0045944; GO:0046872; GO:0048023; GO:0048066; GO:0048856; GO:0090263; GO:0097324; GO:1903056	36
37	GO:0003676; GO:0005730; GO:0005737; GO:0008270; GO:0008988; GO:0031167; GO:0045727; GO:1904047	37
38	GO:0046872	38
39	GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0046872; GO:1990837	39
40	GO:0003677; GO:0005634; GO:0046872	40
41	GO:0005886; GO:0010628; GO:0010950; GO:0016021; GO:0019899; GO:0030335; GO:0031638; GO:0032689; GO:0032693; GO:0032700; GO:0032720; GO:0042802; GO:0045591; GO:0050776; GO:0061133; GO:0120158; GO:2000562; GO:2000565	41
42	GO:0000278; GO:0000775; GO:0000785; GO:0000795; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0005794; GO:0005813; GO:0005829; GO:0008156; GO:0009636; GO:0035562; GO:0045171; GO:0045875; GO:0048146; GO:0051301; GO:0051983; GO:0060623; GO:0071168; GO:0071922; GO:0072686	42
43	GO:0000785; GO:0003682; GO:0005730; GO:0035097; GO:0048188; GO:0051568; GO:0072357; GO:0080182	43
44	GO:0001825; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0016070; GO:0030687; GO:0042273	44
45	GO:0000054; GO:0000055; GO:0000056; GO:0000122; GO:0000776; GO:0003723; GO:0005049; GO:0005634; GO:0005635; GO:0005642; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006611; GO:0006913; GO:0010824; GO:0015030; GO:0016020; GO:0019904; GO:0031267; GO:0031965; GO:0032434; GO:0032991; GO:0034504; GO:0042254; GO:0042493; GO:0043231; GO:0046825; GO:0051028; GO:1990904	45
46	GO:0000138; GO:0000139; GO:0005783; GO:0005797; GO:0005801; GO:0005802; GO:0016021; GO:0030134; GO:0042802; GO:0060576	46
47	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0043392; GO:0045893; GO:0046872	47
48	GO:0000294; GO:0000932; GO:0001525; GO:0001933; GO:0002230; GO:0002757; GO:0003677; GO:0003682; GO:0003723; GO:0003729; GO:0003730; GO:0004521; GO:0004532; GO:0004540; GO:0005634; GO:0005654; GO:0005737; GO:0005791; GO:0005856; GO:0006915; GO:0006954; GO:0006974; GO:0007399; GO:0010468; GO:0010508; GO:0010595; GO:0010628; GO:0010629; GO:0010656; GO:0010884; GO:0010942; GO:0016579; GO:0030154; GO:0030867; GO:0032088; GO:0032689; GO:0032691; GO:0032715; GO:0032720; GO:0032991; GO:0034599; GO:0035198; GO:0035613; GO:0035925; GO:0036464; GO:0042149; GO:0042307; GO:0042406; GO:0043022; GO:0043031; GO:0043124; GO:0044828; GO:0045019; GO:0045600; GO:0045766; GO:0045944; GO:0046872; GO:0050852; GO:0051259; GO:0051607; GO:0055118; GO:0061014; GO:0061158; GO:0071222; GO:0071347; GO:0071356; GO:0090501; GO:0090502; GO:0098586; GO:1900016; GO:1900119; GO:1900745; GO:1901223; GO:1903003; GO:1903799; GO:1903936; GO:1904637; GO:1990869; GO:2000320; GO:2000379; GO:2000627	48
49	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0008270	49
50	GO:0000978; GO:0000981; GO:0005654; GO:0005829; GO:0006357; GO:0046872	50
51	GO:0000976; GO:0003677; GO:0005634; GO:0007601; GO:0010468; GO:0045944; GO:0046872; GO:0050896; GO:0060041	51
52	GO:0005634; GO:0005654; GO:0006357; GO:0007517; GO:0045944; GO:0046872; GO:1990841; GO:2000291; GO:2001224	52
53	GO:0000821; GO:0005886; GO:0005887; GO:0015174; GO:0015179; GO:0016323; GO:1990822	53
54	GO:0002102; GO:0005516; GO:0005737; GO:0005829; GO:0005886; GO:0005912; GO:0005921; GO:0005923; GO:0007043; GO:0008284; GO:0016323; GO:0030054; GO:0030335; GO:0031032; GO:0032991; GO:0034334; GO:0035633; GO:0042995; GO:0043066; GO:0043296; GO:0045177; GO:0045216; GO:0045296; GO:0050839; GO:0051493; GO:0051497; GO:0070160; GO:0071896; GO:0090557; GO:0098609; GO:0150105; GO:1901888; GO:1902396; GO:1903672; GO:1905605; GO:2000049; GO:2000250; GO:2000810	54
55	GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0006355; GO:0006357; GO:0007141; GO:0007283; GO:0030154; GO:0045944; GO:0046872	55
56	GO:0003723; GO:0004386; GO:0008270; GO:0031048; GO:0031380	56
57	GO:0016021	57
58	GO:0005385; GO:0005737; GO:0005765; GO:0005770; GO:0005886; GO:0009636; GO:0010043; GO:0016021; GO:0031902; GO:0055069; GO:0061088; GO:0071577	58
59	GO:0003682; GO:0005634; GO:0005783; GO:0005856; GO:0006289; GO:0006829; GO:0006882; GO:0008324; GO:0016021; GO:0016922; GO:0030374; GO:0031410; GO:0045944	59
