	ID_Geneontology_cellularcomponent__	Gene ontology (cellular component)
0	nucleus [GO:0005634]	0
1		1
2	nuclear body [GO:0016604]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]	2
3	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	3
4	cytoplasm [GO:0005737]; endosome [GO:0005768]; nucleus [GO:0005634]	4
5	extracellular region [GO:0005576]; plasma membrane [GO:0005886]	5
6	chromatin [GO:0000785]; nucleus [GO:0005634]	6
7	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; synapse [GO:0045202]	7
8	apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; microvillus [GO:0005902]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; proton-transporting two-sector ATPase complex [GO:0016469]; secretory granule [GO:0030141]; transport vesicle [GO:0030133]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]	8
9	axoneme [GO:0005930]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; trans-Golgi network [GO:0005802]	9
10	cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; intracellular membrane-bounded organelle [GO:0043231]	10
11	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]	11
12	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	12
13	centrosome [GO:0005813]; lysosomal membrane [GO:0005765]; midbody [GO:0030496]	13
14	dendrite [GO:0030425]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]	14
15	azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]	15
16	DBIRD complex [GO:0044609]; intracellular membrane-bounded organelle [GO:0043231]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	16
17	nucleoplasm [GO:0005654]; nucleus [GO:0005634]	17
18	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	18
19	Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; mitotic spindle [GO:0072686]	19
20	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]	20
21	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]	21
22	nucleoplasm [GO:0005654]	22
23	actin cytoskeleton [GO:0015629]; chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	23
24	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	24
25	cytoplasm [GO:0005737]; nucleolus [GO:0005730]	25
26	centrosome [GO:0005813]; chromatin [GO:0000785]; chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intercellular bridge [GO:0045171]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]	26
27	chromatin [GO:0000785]; histone methyltransferase complex [GO:0035097]; nucleolus [GO:0005730]; PTW/PP1 phosphatase complex [GO:0072357]; Set1C/COMPASS complex [GO:0048188]	27
28	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]	28
29	annulate lamellae [GO:0005642]; Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; kinetochore [GO:0000776]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]	29
30	cis-Golgi network [GO:0005801]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]	30
31	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; protein-containing complex [GO:0032991]; rough endoplasmic reticulum [GO:0005791]; rough endoplasmic reticulum membrane [GO:0030867]	31
32	cytosol [GO:0005829]; nucleoplasm [GO:0005654]	32
33	basolateral plasma membrane [GO:0016323]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	33
34	adherens junction [GO:0005912]; apical junction complex [GO:0043296]; apical part of cell [GO:0045177]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cell junction [GO:0030054]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; gap junction [GO:0005921]; plasma membrane [GO:0005886]; podosome [GO:0002102]; protein-containing complex [GO:0032991]; tight junction [GO:0070160]	34
35	nuclear RNA-directed RNA polymerase complex [GO:0031380]	35
36	integral component of membrane [GO:0016021]	36
37	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]	37
38	cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]	38
39	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]	39
40	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	40
41	azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]	41
42	extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	42
43	extracellular space [GO:0005615]; plasma membrane [GO:0005886]	43
44	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nuclear matrix [GO:0016363]; ribonucleoprotein complex [GO:1990904]; telomerase holoenzyme complex [GO:0005697]	44
45	ciliary transition zone [GO:0035869]; integral component of membrane [GO:0016021]; MKS complex [GO:0036038]	45
46	actin filament [GO:0005884]; cortical cytoskeleton [GO:0030863]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; muscle thin filament tropomyosin [GO:0005862]; podosome [GO:0002102]; stress fiber [GO:0001725]	46
47	adherens junction [GO:0005912]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	47
48	mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrial ribonuclease P complex [GO:0030678]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	48
49	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	49
50	axonal growth cone [GO:0044295]; cell body [GO:0044297]; cell surface [GO:0009986]; growth cone membrane [GO:0032584]; integral component of plasma membrane [GO:0005887]; melanosome [GO:0042470]; plasma membrane [GO:0005886]	50
51	external side of plasma membrane [GO:0009897]; T cell receptor complex [GO:0042101]	51
52	endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	52
53	axon [GO:0030424]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	53
54	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; sodium channel complex [GO:0034706]; spanning component of membrane [GO:0089717]; spanning component of plasma membrane [GO:0044214]	54
55	basolateral plasma membrane [GO:0016323]; calcium channel complex [GO:0034704]; cation channel complex [GO:0034703]; caveola [GO:0005901]; cell surface [GO:0009986]; cortical cytoskeleton [GO:0030863]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	55
56	cation channel complex [GO:0034703]; cis-Golgi network [GO:0005801]; integral component of plasma membrane [GO:0005887]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	56
57	centrosome [GO:0005813]; midbody [GO:0030496]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respirasome [GO:0070469]	57
58	endomembrane system [GO:0012505]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]	58
59	axon [GO:0030424]; dendrite cytoplasm [GO:0032839]; Golgi apparatus [GO:0005794]; midbody [GO:0030496]; neuronal ribonucleoprotein granule [GO:0071598]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	59
60	cytosol [GO:0005829]	60
61	cytoplasm [GO:0005737]; cytosol [GO:0005829]	61
62	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	62
63	apical plasma membrane urothelial plaque [GO:0120001]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]	63
64	cytosol [GO:0005829]; filopodium [GO:0030175]; nucleus [GO:0005634]	64
65	apical part of cell [GO:0045177]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]	65
66	cytosol [GO:0005829]; nucleus [GO:0005634]	66
67	cytoplasm [GO:0005737]; cytosol [GO:0005829]; lysosome [GO:0005764]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	67
68	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; photoreceptor inner segment [GO:0001917]	68
69	endocytic vesicle [GO:0030139]; endosome [GO:0005768]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	69
70	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	70
71	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	71
72	actin cap [GO:0030478]; actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; extracellular exosome [GO:0070062]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	72
73	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]	73
74	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; perinucleolar compartment [GO:0097356]	74
75	cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	75
76	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	76
77	cytosol [GO:0005829]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	77
78	endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; phagocytic vesicle membrane [GO:0030670]; proton-transporting V-type ATPase, V0 domain [GO:0033179]	78
79	chromatin [GO:0000785]; nucleoplasm [GO:0005654]	79
80	cytochrome complex [GO:0070069]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; perinuclear region of cytoplasm [GO:0048471]	80
81	cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]	81
82	membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	82
83	chromosome [GO:0005694]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]	83
84	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	84
85	cell surface [GO:0009986]; cytoplasm [GO:0005737]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]	85
86	cell-cell junction [GO:0005911]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; podosome [GO:0002102]	86
87	cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	87
88	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ubiquitin ligase complex [GO:0000151]	88
89	centrosome [GO:0005813]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; ESCRT I complex [GO:0000813]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; nucleoplasm [GO:0005654]	89
90	cell-cell junction [GO:0005911]; integral component of plasma membrane [GO:0005887]	90
91	cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; late endosome [GO:0005770]; phagocytic vesicle [GO:0045335]; retromer, cargo-selective complex [GO:0030906]; retromer complex [GO:0030904]	91
92	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]	92
93	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	93
94	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]	94
95	AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; HOPS complex [GO:0030897]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal HOPS complex [GO:1902501]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]	95
