	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
0	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	0
1	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	1
2		2
3	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	3
4	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding [GO:0001162]	4
5	pheromone receptor activity [GO:0016503]	5
6	pantetheine hydrolase activity [GO:0017159]	6
7	metal ion binding [GO:0046872]	7
8	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	8
9	1-phosphatidylinositol binding [GO:0005545]; metal ion binding [GO:0046872]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]	9
10	carbohydrate binding [GO:0030246]	10
11	protein-cysteine S-palmitoyltransferase activity [GO:0019706]	11
12	metal ion binding [GO:0046872]; phosphatidylinositol-3-phosphate binding [GO:0032266]	12
13	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	13
14	palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	14
15	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	15
16	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]	16
17	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	17
18	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA polymerase II complex binding [GO:0000993]	18
19	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	19
20	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	20
21	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	21
22	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	22
23	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	23
24	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	24
25	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	25
26	histone binding [GO:0042393]; modification-dependent protein binding [GO:0140030]; TBP-class protein binding [GO:0017025]	26
27	palmitoyltransferase activity [GO:0016409]; protein-cysteine S-myristoyltransferase activity [GO:0019705]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein-cysteine S-stearoyltransferase activity [GO:0140439]	27
28	DNA binding [GO:0003677]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	28
29	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	29
30	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]	30
31	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]	31
32	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; phosphatase regulator activity [GO:0019208]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]	32
33	nucleic acid binding [GO:0003676]; rRNA (adenine-N6-)-methyltransferase activity [GO:0008988]; S-adenosyl-L-methionine binding [GO:1904047]; zinc ion binding [GO:0008270]	33
34	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	34
35	endopeptidase activator activity [GO:0061133]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]	35
36	chromatin binding [GO:0003682]	36
37	nuclear export signal receptor activity [GO:0005049]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]	37
38	identical protein binding [GO:0042802]	38
39	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; endoribonuclease activity [GO:0004521]; exoribonuclease activity [GO:0004532]; metal ion binding [GO:0046872]; miRNA binding [GO:0035198]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; ribonuclease activity [GO:0004540]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]	39
40	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	40
41	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; transcription cis-regulatory region binding [GO:0000976]	41
42	metal ion binding [GO:0046872]; promoter-specific chromatin binding [GO:1990841]	42
43	basic amino acid transmembrane transporter activity [GO:0015174]; L-amino acid transmembrane transporter activity [GO:0015179]	43
44	cadherin binding [GO:0045296]; calmodulin binding [GO:0005516]; cell adhesion molecule binding [GO:0050839]	44
45	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	45
46	helicase activity [GO:0004386]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	46
47	zinc ion transmembrane transporter activity [GO:0005385]	47
48	cation transmembrane transporter activity [GO:0008324]; chromatin binding [GO:0003682]; nuclear receptor binding [GO:0016922]; nuclear receptor coactivator activity [GO:0030374]	48
49	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]	49
50	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]	50
51	protein domain specific binding [GO:0019904]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	51
52	RNA binding [GO:0003723]; tRNA (guanine(9)-N(1))-methyltransferase activity [GO:0052905]; tRNA (guanine-N1-)-methyltransferase activity [GO:0009019]; tRNA binding [GO:0000049]	52
53	serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]	53
54	cytokine activity [GO:0005125]; signaling receptor binding [GO:0005102]; tumor necrosis factor receptor binding [GO:0005164]	54
55	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; p53 binding [GO:0002039]; RNA binding [GO:0003723]; telomerase activity [GO:0003720]; telomerase RNA binding [GO:0070034]	55
56	actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; structural constituent of muscle [GO:0008307]	56
57	identical protein binding [GO:0042802]; mRNA (adenine-N1-)-methyltransferase activity [GO:0061953]; RNA binding [GO:0003723]; tRNA (adenine-N1-)-methyltransferase activity [GO:0016429]; tRNA (guanine(9)-N(1))-methyltransferase activity [GO:0052905]; tRNA (guanine-N1-)-methyltransferase activity [GO:0009019]; tRNA binding [GO:0000049]	57
58	hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]	58
59	integrin binding [GO:0005178]; metalloendopeptidase inhibitor activity [GO:0008191]; peptidase inhibitor activity [GO:0030414]; protease binding [GO:0002020]; zinc ion binding [GO:0008270]	59
60	calcium channel activity [GO:0005262]; cation channel activity [GO:0005261]; ion channel activity [GO:0005216]; ion transmembrane transporter activity [GO:0015075]	60
61	calcium ion binding [GO:0005509]; WW domain binding [GO:0050699]	61
62	calcium channel activity [GO:0005262]; cation channel activity [GO:0005261]	62
63	ATP binding [GO:0005524]; calcium activated cation channel activity [GO:0005227]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; cation channel activity [GO:0005261]; identical protein binding [GO:0042802]; ligand-gated calcium channel activity [GO:0099604]; sodium channel activity [GO:0005272]	63
64	beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium channel activity [GO:0005262]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]	64
65	calcium channel activity [GO:0005262]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]	65
66	deoxyuridine phosphorylase activity [GO:0047847]; identical protein binding [GO:0042802]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850]	66
67	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	67
68	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; transferase activity [GO:0016740]	68
69	S-adenosyl-L-methionine binding [GO:1904047]; transferase activity [GO:0016740]	69
70	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; uridine kinase activity [GO:0004849]	70
71	structural molecule activity [GO:0005198]	71
72	ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]	72
73	thiol-dependent deubiquitinase [GO:0004843]	73
74	cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent deubiquitinase [GO:0004843]	74
75	adenosine receptor binding [GO:0031685]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; thiol-dependent deubiquitinase [GO:0004843]	75
76	thiol-dependent deubiquitinase [GO:0004843]; zinc ion binding [GO:0008270]	76
77	G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; protein kinase C binding [GO:0005080]; V1A vasopressin receptor binding [GO:0031894]; vasopressin receptor activity [GO:0005000]	77
78	quinone binding [GO:0048038]; vitamin-K-epoxide reductase (warfarin-sensitive) activity [GO:0047057]	78
79	nuclear export signal receptor activity [GO:0005049]; small GTPase binding [GO:0031267]	79
80	actin binding [GO:0003779]; GTPase regulator activity [GO:0030695]	80
81	C5-methylcytidine-containing RNA binding [GO:0062153]; mRNA binding [GO:0003729]; N6-methyladenosine-containing RNA binding [GO:1990247]; RNA binding [GO:0003723]	81
82	transcription coregulator activity [GO:0003712]	82
83	ATP binding [GO:0005524]; growth factor binding [GO:0019838]; protein homodimerization activity [GO:0042803]; protein phosphatase binding [GO:0019903]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor-activated receptor activity [GO:0005021]	83
84	ATPase-coupled ion transmembrane transporter activity [GO:0042625]; hydrolase activity [GO:0016787]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	84
85	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]	85
86	metal ion binding [GO:0046872]; mRNA binding [GO:0003729]	86
87	enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; steroid binding [GO:0005496]	87
