mature_id	gene_name	score
hsa-miR-576-3p	STXBP5	0.277
hsa-miR-576-3p	PPP4R3B	0.191
hsa-miR-576-3p	RASA1	0.29
hsa-miR-140-5p	STXBP5	0.095
hsa-miR-140-5p	GPC3	0.612
hsa-miR-140-5p	RASA1	0.045
hsa-miR-140-5p	ASPG	0.043
hsa-miR-140-5p	MTCH2	0.413
hsa-miR-140-5p	PIGX	0.575
hsa-miR-522-5p	PPP4R3B	0.105
hsa-miR-522-5p	STXBP5	0.174
hsa-miR-522-5p	RASA1	0.233
hsa-miR-522-5p	MTCH2	0.303
hsa-miR-522-5p	MEPE	0.032
hsa-miR-522-5p	PIGX	0.266
hsa-miR-522-5p	TAF1A	0.013
hsa-miR-522-5p	ARL4A	0.035
hsa-miR-1298-5p	PIGX	0.044
hsa-miR-1298-5p	RASA1	0.116
hsa-miR-1298-5p	STXBP5	0.087
hsa-miR-1298-5p	ASPG	0.129
hsa-miR-1298-5p	MTCH2	0.163
hsa-miR-1298-5p	GPC3	0.194
hsa-miR-1298-5p	MEPE	0.261
hsa-miR-1298-5p	PPP4R3B	0.324
hsa-miR-133a-3p	STXBP5	0.08
hsa-miR-133a-3p	ASPG	0.088
hsa-miR-133a-3p	ARL4A	0.019
hsa-miR-133a-3p	PIGX	0.15
hsa-miR-4743-3p	ASPG	0.185
hsa-miR-4743-3p	PPP4R3B	0.416
hsa-miR-4743-3p	TAF1A	0.485
hsa-miR-4743-3p	ARL4A	0.432
hsa-miR-4743-3p	STXBP5	0.309
hsa-miR-4743-3p	RASA1	0.084
hsa-miR-4743-3p	MTCH2	0.348
hsa-miR-4743-3p	PIGX	0.378
hsa-miR-4743-3p	GPC3	0.296
hsa-miR-557	ARL4A	0.047
hsa-miR-557	STXBP5	0.034
hsa-miR-557	RASA1	0.112
hsa-miR-557	ASPG	0.079
hsa-miR-557	PPP4R3B	0.11
hsa-miR-557	PIGX	0.044
hsa-miR-557	TAF1A	0.027
hsa-miR-548ao-3p	RASA1	0.1
hsa-miR-5088-5p	STXBP5	0.139
hsa-miR-5088-5p	ASPG	0.051
hsa-miR-5088-5p	MTCH2	0.282
hsa-miR-5088-5p	TAF1A	0.094
hsa-miR-665	ASPG	0.262
hsa-miR-665	ARL4A	0.366
hsa-miR-665	MEPE	0.017
hsa-miR-665	PPP4R3B	0.443
hsa-miR-665	PIGX	0.01
hsa-miR-3622b-3p	MTCH2	0.19
hsa-miR-3622b-3p	PIGX	0.506
hsa-miR-3622b-3p	STXBP5	0.392
hsa-miR-3622b-3p	ASPG	0.196
hsa-miR-3622b-3p	PPP4R3B	0.556
hsa-miR-3622b-3p	TAF1A	0.282
hsa-miR-3622b-3p	MEPE	0.809
hsa-miR-4493	MEPE	0.034
hsa-miR-4493	STXBP5	0.096
hsa-miR-4493	ASPG	0.12
hsa-miR-4493	PIGX	0.003
hsa-miR-4493	MTCH2	0.043
hsa-miR-4493	PPP4R3B	0.06
hsa-miR-1250-5p	ASPG	0.083
hsa-miR-1250-5p	STXBP5	0.079
hsa-miR-1250-5p	RASA1	0.086
hsa-miR-1250-5p	PIGX	0.001
hsa-miR-1250-5p	TAF1A	0.032
hsa-miR-1250-5p	MTCH2	0.137
hsa-miR-3622a-5p	STXBP5	0.4
hsa-miR-3622a-5p	ASPG	0.523
hsa-miR-3622a-5p	MEPE	0.236
hsa-miR-3622a-5p	PPP4R3B	0.342
hsa-miR-3622a-5p	PIGX	0.064
hsa-miR-3622a-5p	GPC3	0.662
hsa-miR-3622a-5p	TAF1A	0.34
hsa-miR-3622a-5p	ARL4A	0.246
hsa-miR-3622a-5p	RASA1	0.043
hsa-miR-381-3p	PIGX	0.014
hsa-miR-4709-3p	RASA1	0.056
hsa-miR-4709-3p	MTCH2	0.48
hsa-miR-4709-3p	TAF1A	0.043
hsa-miR-4709-3p	STXBP5	0.178
hsa-miR-4709-3p	PPP4R3B	0.372
hsa-miR-4709-3p	ASPG	0.085
hsa-miR-7159-5p	ASPG	0.07
hsa-miR-7159-5p	STXBP5	0.002
hsa-miR-7159-5p	PPP4R3B	0.374
hsa-miR-7159-5p	GPC3	0.201
hsa-miR-7159-5p	ARL4A	0.102
hsa-miR-7159-5p	TAF1A	0.025
hsa-miR-6738-5p	STXBP5	0.32
hsa-miR-6738-5p	ASPG	0.076
hsa-miR-6738-5p	MTCH2	0.08
hsa-miR-6738-5p	PIGX	0.169
hsa-miR-6738-5p	ARL4A	0.028
hsa-miR-6738-5p	RASA1	0.084
hsa-miR-374b-3p	STXBP5	0.216
hsa-miR-374b-3p	MEPE	0.102
hsa-miR-374b-3p	ARL4A	0.002
hsa-miR-374b-3p	RASA1	0.061
hsa-miR-374b-3p	MTCH2	0.021
hsa-miR-374b-3p	PPP4R3B	0.102
hsa-miR-374b-3p	PIGX	0.007
hsa-miR-374b-3p	TAF1A	0.159
hsa-miR-374b-3p	ASPG	0.404
hsa-miR-6874-3p	TAF1A	0.102
hsa-miR-6874-3p	STXBP5	0.05
hsa-miR-6874-3p	ASPG	0.09
hsa-miR-6874-3p	MEPE	0.261
hsa-miR-6874-3p	PIGX	0.024
hsa-miR-6874-3p	RASA1	0.157
hsa-miR-448	MTCH2	0.388
hsa-miR-448	PIGX	0.071
hsa-miR-448	ARL4A	0.076
hsa-miR-448	STXBP5	0.244
hsa-miR-448	ASPG	0.197
hsa-miR-448	TAF1A	0.076
hsa-miR-548s	STXBP5	0.166
hsa-miR-548s	PIGX	0.09
hsa-miR-515-5p	PIGX	0.017
hsa-miR-6891-5p	ASPG	0.203
hsa-miR-6891-5p	STXBP5	0.239
hsa-miR-6891-5p	RASA1	0.102
hsa-miR-6891-5p	MTCH2	0.84
hsa-miR-6891-5p	PPP4R3B	0.429
hsa-miR-6891-5p	GPC3	0.431
hsa-miR-6891-5p	ARL4A	0.841
hsa-miR-6891-5p	PIGX	0.13
hsa-miR-6891-5p	TAF1A	0.157
hsa-miR-3940-5p	ASPG	0.518
hsa-miR-3940-5p	ARL4A	0.329
hsa-miR-3940-5p	STXBP5	0.155
hsa-miR-3940-5p	RASA1	0.377
hsa-miR-3940-5p	MEPE	0.123
hsa-miR-3940-5p	MTCH2	0.425
hsa-miR-3940-5p	PPP4R3B	0.218
hsa-miR-3940-5p	PIGX	0.393
hsa-miR-3940-5p	TAF1A	0.241
hsa-miR-3940-5p	GPC3	0.503
hsa-miR-431-3p	RASA1	0.048
hsa-miR-431-3p	PPP4R3B	0.228
hsa-miR-431-3p	PIGX	0.051
hsa-miR-431-3p	TAF1A	0.049
hsa-miR-431-3p	ARL4A	0.058
hsa-miR-431-3p	ASPG	0.18
hsa-miR-431-3p	MTCH2	0.34
hsa-miR-6832-5p	MTCH2	0.277
hsa-miR-6832-5p	ARL4A	0.04
hsa-miR-6832-5p	RASA1	0.067
hsa-miR-6832-5p	PIGX	0.094
hsa-miR-6832-5p	TAF1A	0.593
hsa-miR-6832-5p	STXBP5	0.048
hsa-miR-103a-2-5p	STXBP5	0.131
hsa-miR-103a-2-5p	PPP4R3B	0.428
hsa-miR-103a-2-5p	PIGX	0.215
hsa-miR-103a-2-5p	ARL4A	0.021
hsa-miR-103a-2-5p	ASPG	0.14
hsa-miR-103a-2-5p	RASA1	0.036
hsa-miR-103a-2-5p	MTCH2	0.146
hsa-miR-103a-2-5p	TAF1A	0.309
hsa-miR-6877-5p	PPP4R3B	0.358
hsa-miR-6877-5p	ARL4A	0.372
hsa-miR-6877-5p	STXBP5	0.068
hsa-miR-6877-5p	ASPG	0.136
hsa-miR-6877-5p	MTCH2	0.19
hsa-miR-6877-5p	PIGX	0.084
hsa-miR-6877-5p	GPC3	0.572
hsa-miR-1298-3p	PPP4R3B	0.029
hsa-miR-1298-3p	ARL4A	0.387
hsa-miR-1298-3p	STXBP5	0.479
hsa-miR-1298-3p	RASA1	0.414
hsa-miR-1298-3p	ASPG	0.036
hsa-miR-1298-3p	PIGX	0.131
hsa-miR-1298-3p	TAF1A	0.171
hsa-miR-1298-3p	MEPE	0.849
hsa-miR-3682-5p	MEPE	0.543
hsa-miR-3682-5p	ARL4A	0.037
hsa-miR-3682-5p	GPC3	0.183
hsa-miR-3682-5p	RASA1	0.051
hsa-miR-3682-5p	ASPG	0.03
hsa-miR-3155a	PPP4R3B	0.175
hsa-miR-3155a	ASPG	0.196
hsa-miR-3155a	PIGX	0.215
hsa-miR-3155a	STXBP5	0.109
hsa-miR-3155a	TAF1A	0.009
hsa-miR-3155a	ARL4A	0.497
hsa-miR-3155a	RASA1	0.19
hsa-miR-3155a	MTCH2	0.126
hsa-miR-3155a	GPC3	0.277
hsa-miR-5089-5p	ARL4A	0.145
hsa-miR-5089-5p	STXBP5	0.186
hsa-miR-5089-5p	RASA1	0.32
hsa-miR-5089-5p	ASPG	0.183
hsa-miR-5089-5p	MTCH2	0.241
hsa-miR-5089-5p	PPP4R3B	0.163
hsa-miR-5089-5p	MEPE	0.056
hsa-miR-5089-5p	PIGX	0.239
hsa-miR-648	ASPG	0.106
hsa-miR-648	PIGX	0.051
hsa-miR-648	ARL4A	0.563
hsa-miR-648	STXBP5	0.258
hsa-miR-648	RASA1	0.207
hsa-miR-648	PPP4R3B	0.494
hsa-miR-648	GPC3	0.239
hsa-miR-648	TAF1A	0.445
hsa-miR-367-5p	STXBP5	0.082
hsa-miR-367-5p	MTCH2	0.165
hsa-miR-6740-5p	ASPG	0.181
hsa-miR-6740-5p	STXBP5	0.088
hsa-miR-6740-5p	RASA1	0.089
hsa-miR-6740-5p	PPP4R3B	0.168
hsa-miR-6740-5p	PIGX	0.169
hsa-miR-6740-5p	TAF1A	0.138
hsa-miR-6740-5p	MTCH2	0.101
hsa-miR-450a-2-3p	STXBP5	0.246
hsa-miR-450a-2-3p	RASA1	0.283
hsa-miR-450a-2-3p	PPP4R3B	0.197
hsa-miR-450a-2-3p	PIGX	0.453
hsa-miR-450a-2-3p	GPC3	0.071
hsa-miR-450a-2-3p	ASPG	0.039
hsa-miR-6793-3p	ASPG	0.168
hsa-miR-6793-3p	TAF1A	0.418
hsa-miR-6793-3p	PPP4R3B	0.888
hsa-miR-6793-3p	STXBP5	0.369
hsa-miR-6793-3p	PIGX	0.11
hsa-miR-6793-3p	ARL4A	0.048
hsa-miR-6793-3p	MTCH2	1.06
hsa-miR-3622a-3p	STXBP5	0.127
hsa-miR-3622a-3p	RASA1	0.04
hsa-miR-3622a-3p	ASPG	0.137
hsa-miR-3622a-3p	MTCH2	0.414
hsa-miR-3622a-3p	PIGX	0.067
hsa-miR-3622a-3p	PPP4R3B	0.121
hsa-miR-3622a-3p	TAF1A	0.34
hsa-miR-3622a-3p	MEPE	0.295
hsa-miR-6515-3p	STXBP5	0.401
hsa-miR-6515-3p	ASPG	0.279
hsa-miR-6515-3p	ARL4A	0.147
hsa-miR-6515-3p	MTCH2	0.563
hsa-miR-6515-3p	PIGX	0.324
hsa-miR-6515-3p	RASA1	0.169
hsa-miR-6515-3p	PPP4R3B	0.55
hsa-miR-1276	PIGX	0.143
hsa-miR-1276	RASA1	0.107
