uniprot_entry	Gene name	Gene stable ID
Q96R72	OR4K3	ENSG00000176290
Q9UKL2	OR52A1	ENSG00000182070
Q9H205	OR2AG1	ENSG00000279486
Q8NGN2	OR10S1	ENSG00000196248
Q8NGC1	OR11G2	ENSG00000196832
O60502	OGA	ENSG00000198408
Q8NGX2	OR2T35	ENSG00000177151
A6NGY5	OR51F1	ENSG00000280021
Q8NGE3	OR10P1	ENSG00000175398
Q6IF63	OR52W1	ENSG00000175485
Q9BXB4	OSBPL11	ENSG00000144909
Q9UJX0	OSGIN1	ENSG00000140961
Q6A1A2	PDPK2P	ENSG00000205918
Q96S52	PIGS	ENSG00000087111
P13686	ACP5	ENSG00000102575
P17980	PSMC3	ENSG00000165916
Q5THK1	PRR14L	ENSG00000183530
P0CG20	PRR35	ENSG00000161992
Q9ULL5	PRR12	ENSG00000126464
Q6NWY9	PRPF40B	ENSG00000110844
Q5TYX0	PRAMEF5	ENSG00000276420
Q5TYX0	PRAMEF5	ENSG00000282424
Q5TYX0	PRAMEF5	ENSG00000283150
Q5TYX0	PRAMEF5	ENSG00000270601
Q5VTA0	PRAMEF17	ENSG00000204479
Q00LT1	PRCD	ENSG00000214140
Q9UMR5	PPT2	ENSG00000168452
Q9UMR5	PPT2	ENSG00000206256
Q9UMR5	PPT2	ENSG00000227600
Q9UMR5	PPT2	ENSG00000236649
Q9UMR5	PPT2	ENSG00000228116
Q9UMR5	PPT2	ENSG00000206329
Q9UMR5	PPT2	ENSG00000231618
Q9UMR5	PPT2	ENSG00000221988
P0DJ07	PET100	ENSG00000229833
Q8WV60	PTCD2	ENSG00000049883
Q96EY7	PTCD3	ENSG00000132300
Q7RTS3	PTF1A	ENSG00000168267
P20962	PTMS	ENSG00000159335
Q92530	PSMF1	ENSG00000125818
O14957	UQCR11	ENSG00000127540
Q6ZRP7	QSOX2	ENSG00000165661
Q8TBF2	PRXL2B	ENSG00000275125
Q8TBF2	PRXL2B	ENSG00000157870
Q86YV0	RASAL3	ENSG00000105122
Q8NFJ5	GPRC5A	ENSG00000013588
Q14206	RCAN2	ENSG00000172348
Q9Y2P8	RCL1	ENSG00000120158
A4D1S5	RAB19	ENSG00000146955
P61106	RAB14	ENSG00000119396
O95716	RAB3D	ENSG00000105514
Q8N4Z0	RAB42	ENSG00000188060
P49795	RGS19	ENSG00000171700
Q7L0Q8	RHOU	ENSG00000284984
Q7L0Q8	RHOU	ENSG00000116574
Q9BQ08	RETNLB	ENSG00000163515
Q9HB40	SCPEP1	ENSG00000121064
Q8NHV9	RHOXF1	ENSG00000101883
P07949	RET	ENSG00000165731
Q8TAC1	RFESD	ENSG00000175449
Q9UJD0	RIMS3	ENSG00000117016
P50914	RPL14	ENSG00000188846
Q969Q0	RPL36AL	ENSG00000165502
Q9NSD7	RXFP3	ENSG00000277069
Q9NSD7	RXFP3	ENSG00000182631
Q9HCK4	ROBO2	ENSG00000185008
Q9H1D9	POLR3F	ENSG00000132664
P35372	OPRM1	ENSG00000112038
O14581	OR7A17	ENSG00000185385
Q99489	DDO	ENSG00000203797
Q8NGM8	OR6M1	ENSG00000196099
Q9GZK6	OR2J1	ENSG00000234305
Q9GZK6	OR2J1	ENSG00000206523
Q9GZK6	OR2J1	ENSG00000235632
Q9GZK6	OR2J1	ENSG00000226931
Q9GZK6	OR2J1	ENSG00000225441
Q9GZK6	OR2J1	ENSG00000226192
Q9GZK6	OR2J1	ENSG00000234804
Q9GZK6	OR2J1	ENSG00000204702
Q149M9	NWD1	ENSG00000188039
Q8NGE7	OR9K2	ENSG00000170605
Q6N063	OGFOD2	ENSG00000111325
O95158	NXPH4	ENSG00000182379
A6NMZ5	OR4C45	ENSG00000260811
Q8NGL6	OR4A15	ENSG00000181958
Q8NGC8	OR11H7	ENSG00000258806
Q06190	PPP2R3A	ENSG00000073711
A6NJZ3	OR6C65	ENSG00000205328
Q3SX64	ODF3L2	ENSG00000181781
P00480	OTC	ENSG00000036473
Q9NVV4	MTPAP	ENSG00000107951
Q9NPH6	OBP2B	ENSG00000280584
Q9NPH6	OBP2B	ENSG00000171102
Q8NDF8	TENT4B	ENSG00000121274
P0DN37	PPIAL4G	ENSG00000236334
O15381	NVL	ENSG00000143748
A8MZH6	OOSP1	ENSG00000285029
A8MZH6	OOSP1	ENSG00000284873
Q8NGH7	OR52L1	ENSG00000183313
O95340	PAPSS2	ENSG00000198682
Q6ZVX9	PAQR9	ENSG00000188582
P57723	PCBP4	ENSG00000090097
Q8TEZ7	PAQR8	ENSG00000170915
Q460N5	PARP14	ENSG00000173193
Q96QU1	PCDH15	ENSG00000150275
Q6P474	PDXDC2P	ENSG00000255185
P13667	PDIA4	ENSG00000155660
P09466	PAEP	ENSG00000122133
Q13087	PDIA2	ENSG00000185615
Q15084	PDIA6	ENSG00000143870
Q53GL7	PARP10	ENSG00000178685
Q5MIZ7	PPP4R3B	ENSG00000275052
A4QPH2	PI4KAP2	ENSG00000183506
Q92561	PHYHIP	ENSG00000168490
Q8IYJ0	PIANP	ENSG00000139200
Q8WWW0	RASSF5	ENSG00000266094
Q06609	RAD51	ENSG00000051180
O75452	RDH16	ENSG00000139547
Q9UBK7	RABL2A	ENSG00000144134
Q9UKM9	RALY	ENSG00000125970
A0AV96	RBM47	ENSG00000163694
P46060	RANGAP1	ENSG00000100401
Q96IS3	RAX2	ENSG00000173976
Q9BRK0	REEP2	ENSG00000132563
A1A4S6	ARHGAP10	ENSG00000071205
Q5T5U3	ARHGAP10	ENSG00000071205
P61020	RAB5B	ENSG00000111540
Q6ZS17	RIPOR1	ENSG00000039523
P15927	RPA2	ENSG00000117748
P62888	RPL30	ENSG00000156482
Q9P015	MRPL15	ENSG00000137547
P49406	MRPL15	ENSG00000137547
Q9HAT0	ROPN1	ENSG00000065371
Q9Y6N7	ROBO1	ENSG00000169855
Q13151	HNRNPA0	ENSG00000177733
P60602	ROMO1	ENSG00000125995
Q13464	ROCK1	ENSG00000067900
Q9P1U0	POLR1H	ENSG00000233795
Q9P1U0	POLR1H	ENSG00000236808
Q9P1U0	POLR1H	ENSG00000235443
Q9P1U0	POLR1H	ENSG00000224859
Q9P1U0	POLR1H	ENSG00000235176
Q9P1U0	POLR1H	ENSG00000206502
Q9P1U0	POLR1H	ENSG00000236949
