miRNA	Gene	Score
hsa-miR-576-3p	AMBP	0.0
hsa-miR-576-3p	FGF22	0.0
hsa-miR-140-5p	AMBP	0.0
hsa-miR-140-5p	FGF22	0.0
hsa-miR-522-5p	AMBP	0.0
hsa-miR-522-5p	FGF22	0.0
hsa-miR-1298-5p	AMBP	0.0
hsa-miR-1298-5p	FGF22	0.042
hsa-miR-133a-3p	AMBP	0.0
hsa-miR-133a-3p	FGF22	0.0
hsa-miR-4743-3p	AMBP	0.0
hsa-miR-4743-3p	FGF22	0.997
hsa-miR-557	FGF22	0.247
hsa-miR-557	AMBP	0.0
hsa-miR-548ao-3p	FGF22	0.0
hsa-miR-548ao-3p	AMBP	0.0
hsa-miR-5088-5p	FGF22	0.015
hsa-miR-5088-5p	AMBP	0.0
hsa-miR-4649-5p	FGF22	0.0
hsa-miR-4649-5p	AMBP	0.0
hsa-miR-665	FGF22	0.21
hsa-miR-665	AMBP	0.0
hsa-miR-3622b-3p	AMBP	0.061
hsa-miR-3622b-3p	FGF22	0.64
hsa-miR-4493	FGF22	0.0
hsa-miR-4493	AMBP	0.0
hsa-miR-1250-5p	FGF22	0.174
hsa-miR-1250-5p	AMBP	0.0
hsa-miR-3622a-5p	FGF22	0.616
hsa-miR-3622a-5p	AMBP	0.493
hsa-miR-381-3p	FGF22	0.0
hsa-miR-381-3p	AMBP	0.0
hsa-miR-4709-3p	AMBP	0.0
hsa-miR-4709-3p	FGF22	0.0
hsa-miR-7159-5p	AMBP	0.0
hsa-miR-7159-5p	FGF22	0.0
hsa-miR-6738-5p	AMBP	0.015
hsa-miR-6738-5p	FGF22	0.073
hsa-miR-374b-3p	AMBP	0.0
hsa-miR-374b-3p	FGF22	0.0
hsa-miR-6874-3p	AMBP	0.048
hsa-miR-6874-3p	FGF22	0.0
hsa-miR-448	AMBP	0.153
hsa-miR-448	FGF22	0.0
hsa-miR-548s	FGF22	0.0
hsa-miR-548s	AMBP	0.0
hsa-miR-515-5p	AMBP	0.0
hsa-miR-515-5p	FGF22	0.0
hsa-miR-6891-5p	AMBP	0.0
hsa-miR-6891-5p	FGF22	0.0
hsa-miR-3940-5p	AMBP	0.38
hsa-miR-3940-5p	FGF22	0.534
hsa-miR-431-3p	FGF22	0.251
hsa-miR-431-3p	AMBP	0.0
hsa-miR-6832-5p	FGF22	0.0
hsa-miR-6832-5p	AMBP	0.0
hsa-miR-103a-2-5p	AMBP	0.0
hsa-miR-103a-2-5p	FGF22	0.13
hsa-miR-6877-5p	AMBP	0.0
hsa-miR-6877-5p	FGF22	0.244
hsa-miR-1298-3p	FGF22	0.059
hsa-miR-1298-3p	AMBP	0.0
hsa-miR-3682-5p	FGF22	0.0
hsa-miR-3682-5p	AMBP	0.0
hsa-miR-3155a	FGF22	0.289
hsa-miR-3155a	AMBP	0.0
hsa-miR-5089-5p	AMBP	0.0
hsa-miR-5089-5p	FGF22	0.0
hsa-miR-648	AMBP	0.227
hsa-miR-648	FGF22	0.255
hsa-miR-367-5p	FGF22	0.0
hsa-miR-367-5p	AMBP	0.0
hsa-miR-6740-5p	AMBP	0.089
hsa-miR-6740-5p	FGF22	0.139
hsa-miR-450a-2-3p	AMBP	0.104
