European Nucleotide Archive ID	RNAcentral ID
J01415	
V00662	
D38112	
AF346971	
AF347011	
AY289076	
AY289100	
AY339407	
AY339408	
AY339510	
AY339511	
AY339512	
AY339513	
AY339530	
AY339531	
AY339532	
AY339533	
AY339534	
AY339535	
AY339536	
AY339537	
AY339538	
AY339539	
AY339540	
AY339541	
AY339543	
AY495147	
AY339402	
AY339403	
AY339404	
AY339405	
AY339406	
AY339409	
AY339410	
AY339411	
AY339412	
AY339413	
AY339414	
AY339415	
AY339416	
AY339417	
AY339418	
AY339419	
AY339420	
AY339421	
AY339422	
AY339423	
AY339424	
AY339425	
AY339426	
AY339427	
AY339428	
AY339429	
AY339430	
AY339431	
AY339432	
AY339433	
AY339434	
AY339435	
AY339436	
AY339437	
AY339438	
AY339439	
AY339440	
AY339441	
AY339442	
AY339443	
AY339444	
AY339445	
AY339446	
AY339447	
AY339448	
AY339449	
AY339450	
AY339451	
AY339452	
AY339453	
AY339454	
AY339455	
AY339456	
AY339457	
AY339458	
AY339459	
AY339498	
AY339499	
AY339500	
AY339501	
AY339502	
AY339503	
AY339504	
AY339505	
AY339506	
AY339507	
AY339508	
AY339509	
AY339515	
AY339516	
AY339517	
AY339518	
AY339519	
AY339520	
AY339521	
AY339522	
AY339523	
AY339524	
AY339525	
AY339526	
AY339527	
AY339528	
AY339529	
AY339542	
AY339544	
AY339546	
AY339547	
AY339548	
AY339549	
AY339550	
AY339551	
AY339552	
AY339553	
AY339554	
AY339555	
AY339556	
AY339557	
AY339558	
AY339559	
AY339560	
AY339561	
AY339562	
AY339563	
AY339564	
AY339565	
AF346963	
AF346964	
AF346965	
AF346966	
AF346967	
AF346970	
AF346974	
AF346975	
AF346976	
AF346977	
AF346978	
AF346979	
AF346980	
AF346981	
AF346988	
AF346991	
AF346992	
AF346993	
AF346994	
AF346995	
AF347000	
AF347002	
AF347003	
AF347004	
AF347005	
AF347006	
AF347007	
AF347008	
AF347009	
AF347012	
AF347013	
AF347015	
AY289051	
AY289052	
AY289053	
AY289056	
AY289057	
AY289058	
AY289059	
AY289063	
AY289064	
AY289065	
AY289066	
AY289067	
AY289068	
AY289069	
AY289070	
AY289071	
AY289072	
AY289073	
AY289074	
AY289075	
AY289077	
AY289078	
AY289080	
AY289083	
AY289084	
AY289085	
AY289086	
AY289087	
AY289088	
AY289089	
AY289090	
AY289091	
AY289092	
AY289094	
AY289095	
AY289096	
AY289099	
AY289101	
AY289102	
AY495090	
AY495091	
AY495092	
AY495093	
AY495094	
AY495096	
AY495097	
AY495098	
AY495099	
AY495100	
AY495102	
AY495103	
AY495104	
AY495105	
AY495106	
AY495107	
AY495108	
AY495109	
AY495110	
AY495112	
AY495113	
AY495114	
AY495115	
AY495117	
AY495118	
AY495119	
AY495120	
AY495121	
AY495122	
AY495124	
AY495126	
AY495127	
AY495128	
AY495129	
AY495130	
AY495132	
AY495133	
AY495135	
AY495136	
AY495137	
AY495138	
AY495139	
AY495140	
AY495141	
AY495142	
AY495143	
AY495144	
AY495145	
AY495146	
AY495148	
AY495149	
AY495150	
AY495151	
AY495152	
AY495153	
AY495154	
AY495155	
AY495156	
AY495157	
AY495158	
AY495159	
AY495160	
AY495161	
AY495162	
AY495163	
AY495164	
AY495165	
AY495166	
AY495167	
AY495168	
AY495169	
AY495170	
AY495171	
AY495172	
AY495173	
AY495174	
AY495175	
AY495176	
AY495177	
AY495180	
AY495185	
AY495187	
AY495188	
AY495189	
AY495190	
AY495191	
AY495192	
AY495193	
AY495194	
AY495239	
AY495240	
AY495241	
AY495242	
AY495243	
AY495244	
AY495245	
AY495246	
AY495247	
AY495248	
AY495249	
AY495250	
AY495251	
AY495252	
AY495253	
AY495254	
AY495255	
AY495256	
AY495257	
AY495259	
AY495260	
AY495261	
AY495262	
AY495263	
AY495264	
AY495265	
AY495306	
AY495307	
AY495308	
AY495309	
AY495310	
AY495311	
AY495312	
AY495313	
AY495314	
AY495315	
AY495316	
AY495317	
AY495318	
AY495319	
AY495320	
AY495322	
AY495323	
AY495324	
AY495325	
AY495326	
AY495327	
AY495328	
AY495329	
AY495330	
AY339514	
AF346984	
AF346989	
AF346990	
AF346998	
AY289055	
AY289079	
AY495258	
M10546	
AF346999	
AY289054	
AY495321	
FJ236980	
EF079875	
GQ337536	
GQ337538	
GQ337539	
GQ337540	
GQ337543	
GQ337544	
GQ337545	
GQ337546	
GQ337547	
GQ337549	
GQ337550	
GQ337551	
GQ337552	
GQ337554	
GQ337555	
GQ337556	
GQ337558	
GQ337559	
GQ337560	
GQ337562	
GQ337563	
GQ337564	
GQ337565	
GQ337566	
GQ337568	
GQ337570	
GQ337571	
GQ337572	
GQ337573	
GQ337576	
GQ337577	
GQ337579	
GQ337580	
GQ337581	
GQ337582	
GQ337584	
GQ337586	
GQ337587	
GQ337589	
GQ337590	
GQ337592	
GQ337593	
GQ337594	
GQ337595	
GQ337596	
GQ337597	
GQ337599	
GQ337600	
GQ337601	
GQ337602	
GQ337603	
GQ337604	
GQ337606	
GQ337607	
GQ337608	
GQ337609	
GQ337611	
GQ337612	
GQ337614	
GQ337615	
GQ337616	
GQ337617	
GQ337618	
GQ337619	
GQ337620	
GQ337621	
GQ337623	
GQ337624	
GQ337625	
GQ337628	
GQ337629	
GQ337630	
GQ337631	
GQ337633	
GQ337634	
GQ337635	
GQ337636	
GQ337637	
GQ337640	
GQ337641	
GQ337643	
GQ337644	
GQ337645	
GQ337646	
GQ337647	
GQ337648	
GQ337649	
GQ337650	
GQ337653	
GQ337655	
GQ337656	
GQ337658	
GQ337659	
GQ337660	
GQ337661	
GQ337662	
GQ337665	
GQ337666	
GQ337667	
GQ337668	
GQ337669	
GQ337670	
GQ337675	
GQ337677	
GQ337678	
GQ337680	
GQ337681	
GQ337682	
GQ337683	
GQ337684	
GQ337685	
GQ337689	
GQ337690	
GU213236	
GU213237	
GU213238	
GU213241	
GU213242	
GU213243	
GU213244	
GU213245	
GU213246	
GU213247	
GU213248	
GU213249	
GU213250	
GU213251	
GU213252	
GU213253	
GU213254	
GU213255	
GU213256	
GU213257	
GU213258	
JQ731598	
JQ731599	
JQ731601	
JQ731602	
JX134998	
JX134999	
JX135000	
JX135001	
JX135002	
JX135003	
JX152783	
JX152784	
JX152785	
JX152788	
JX152789	
JX152790	
JX152791	
JX152792	
JX152793	
JX152795	
JX152796	
JX152798	
JX152799	
JX152800	
JX152801	
JX152802	
JX152803	
JX152805	
JX152806	
JX152807	
JX152809	
JX152811	
JX152812	
JX152813	
JX152814	
JX152816	
JX152817	
JX152819	
JX152821	
JX152822	
JX152823	
JX152824	
JX152825	
JX152826	
JX152828	
JX152829	
JX152831	
JX152832	
